Config ID,Window,K,Hidden Size,Num Layers,Ridge Alpha,Input Scaling,RMSE,MAE,MAPE,Training Time
398,96,1,20,7,1.0,0.7,342.69315700311745,243.3900925043371,0.0194250259905508,0.17562939903952857
399,96,1,20,7,1.0,0.1,884.8168235809776,672.0358441727514,0.05205348805402988,0.17438637126575812
400,96,1,50,1,0.001,0.1,241.7018765532822,168.8980690257135,0.013869297099262228,0.03444270654158154
401,96,1,50,1,0.001,0.3,240.79664230854087,166.94919176864755,0.013837961810199372,0.03331598368558013
402,96,1,50,1,0.001,0.5,242.24284961932207,167.89067227778585,0.013906981818832254,0.033468961715698194
403,96,1,50,1,0.001,0.7,242.84845771043263,168.23730036242932,0.013925719276412608,0.0285419550808993
404,96,1,50,1,0.001,0.1,241.65698625399628,168.84175013349306,0.013866692224414173,0.027666438709605775
405,96,1,50,1,0.01,0.1,300.4131994844718,213.40672351435634,0.017100374114644854,0.02952400120821862
406,96,1,50,1,0.01,0.3,242.4680453037371,169.49030869370662,0.013904675419607881,0.027943567796186917
407,96,1,50,1,0.01,0.5,238.96463363485282,166.06285925926588,0.013740321688633473,0.027355540882457317
408,96,1,50,1,0.01,0.7,239.67310155248998,166.276346177012,0.013778074871839036,0.027854681015014596
409,96,1,50,1,0.01,0.1,300.35679529517535,213.3553706213337,0.017094849885979636,0.02963057431307701
410,96,1,50,1,0.1,0.1,493.55706206867285,348.15210504517813,0.027600431278806407,0.03645983609286217
411,96,1,50,1,0.1,0.3,305.966895767236,217.34941737781745,0.0173940068363401,0.029316100207242055
412,96,1,50,1,0.1,0.5,264.84609746372047,187.27147915982323,0.015115925975871301,0.031498713926835446
413,96,1,50,1,0.1,0.7,249.83029893268255,175.36073923608473,0.01428690921273001,0.028582117774269764
414,96,1,50,1,0.1,0.1,493.44667094677845,348.0675275101686,0.02759011451958473,0.028570565310391472
415,96,1,50,1,1.0,0.1,884.9441127061417,672.1256390462281,0.05206072773898522,0.02915529771284618
416,96,1,50,1,1.0,0.3,506.64649502876796,357.56277770954694,0.028320923553146072,0.02811887047507541
417,96,1,50,1,1.0,0.5,396.05794949503235,279.9546068586432,0.022321527355833072,0.0285182432694868
418,96,1,50,1,1.0,0.7,342.78032884453745,243.39509940135733,0.019425159089483553,0.03208487684076477
419,96,1,50,1,1.0,0.1,884.7557677873676,671.9599709876239,0.05205571282110799,0.037365631623701566
420,96,1,50,3,0.001,0.1,241.6785624145639,168.86729644657902,0.013867534550191664,0.13804470409046515
421,96,1,50,3,0.001,0.3,240.74672492638402,166.9186536245919,0.013837371361675647,0.13107288967479355
422,96,1,50,3,0.001,0.5,242.22538004044347,167.84873937804576,0.013902766802871109,0.11243020404468879
423,96,1,50,3,0.001,0.7,242.8453466715734,168.22530329603046,0.013923391096929664,0.10983547297391022
424,96,1,50,3,0.001,0.1,241.67773077810563,168.870562034963,0.013867951276531855,0.12485675378279248
425,96,1,50,3,0.01,0.1,300.33902336783405,213.35556902919095,0.01709271775313428,0.11878763545643195
426,96,1,50,3,0.01,0.3,242.48219081416218,169.53168252852822,0.01390644754483409,0.11274730075489386
427,96,1,50,3,0.01,0.5,238.96843239783573,166.09561275939902,0.013743939020631446,0.11111187934875484
428,96,1,50,3,0.01,0.7,239.64866270583386,166.26792087150903,0.013779641652335466,0.11432053826071996
429,96,1,50,3,0.01,0.1,300.47787879743345,213.45204764998763,0.01709687142672621,0.13154905492609192
430,96,1,50,3,0.1,0.1,493.5030052474767,348.1135303817241,0.0275884726480904,0.13498189232566138
431,96,1,50,3,0.1,0.3,305.8184348693085,217.2529649803676,0.01739119273169038,0.12111080776561386
432,96,1,50,3,0.1,0.5,264.90753848310527,187.30878740669274,0.015119707485905444,0.12598824501037595
433,96,1,50,3,0.1,0.7,249.76763650182593,175.28450370589763,0.014281009704055981,0.1462731144644997
434,96,1,50,3,0.1,0.1,493.506362156857,348.1055539487564,0.027590443959934045,0.13214263049038968
435,96,1,50,3,1.0,0.1,884.9155462271385,672.1007983582833,0.05205946251199583,0.13473296165466306
436,96,1,50,3,1.0,0.3,506.50517418077686,357.4569650155218,0.02831508820439699,0.12265989997170185
437,96,1,50,3,1.0,0.5,396.0568142884127,279.94573049031254,0.022307054086555228,0.12168348919261579
438,96,1,50,3,1.0,0.7,342.71378839072116,243.3799539789018,0.019420481007548618,0.11964223601601337
439,96,1,50,3,1.0,0.1,884.6485485807426,671.8928395810891,0.052048044259553776,0.12009475447914814
440,96,1,50,5,0.001,0.1,241.6799885487271,168.87271454975465,0.013867749926722935,0.22536778450012204
441,96,1,50,5,0.001,0.3,240.75147681727978,166.92333670246103,0.013837959574862719,0.21953192624178797
442,96,1,50,5,0.001,0.5,242.2463423055428,167.88036430459312,0.01390511718726029,0.23406288840553974
443,96,1,50,5,0.001,0.7,242.81899779547837,168.19594669857503,0.013921109129347702,0.25484414534135297
444,96,1,50,5,0.001,0.1,241.69361117390315,168.8881262851879,0.013868928813909137,0.24307920716025608
445,96,1,50,5,0.01,0.1,300.3756334764915,213.37799723837944,0.01709381092664141,0.26602853428233747
446,96,1,50,5,0.01,0.3,242.46305406914004,169.5021709063428,0.013904916077073963,0.2521218820051713
447,96,1,50,5,0.01,0.5,238.93922699339038,166.0406802215165,0.013741161223375799,0.28349980441006745
448,96,1,50,5,0.01,0.7,239.6713995428404,166.31545886052254,0.013782049766685935,0.3088234771381725
449,96,1,50,5,0.01,0.1,300.4069461239351,213.40614021404235,0.01709628407221222,0.2591596733440052
450,96,1,50,5,0.1,0.1,493.50222969811546,348.11556232222654,0.02758696304089847,0.2677537311207164
451,96,1,50,5,0.1,0.3,305.90761735297104,217.32379387554582,0.01739373888262128,0.23176960511641065
452,96,1,50,5,0.1,0.5,264.800883063227,187.22030949226908,0.015118052091586055,0.22394351525740186
453,96,1,50,5,0.1,0.7,249.8259072957749,175.37285623608742,0.014285072554827583,0.2125410816886208
454,96,1,50,5,0.1,0.1,493.5773150801098,348.16719575480306,0.02759686727320829,0.19975367459383875
455,96,1,50,5,1.0,0.1,884.9102916384433,672.092624966131,0.052054973267224906,0.21098221432078965
456,96,1,50,5,1.0,0.3,506.84475111716165,357.7140104385566,0.028330342001159536,0.1949366005984219
457,96,1,50,5,1.0,0.5,396.2022421457236,280.06303481242975,0.022312251388941353,0.19500084356828165
458,96,1,50,5,1.0,0.7,342.54747509365046,243.2583184030743,0.019417875147501647,0.19218492507934568
459,96,1,50,5,1.0,0.1,884.7993332014926,672.0089969250513,0.05205617189671861,0.20714705640619446
